SaleID,ProductID,SalesmanID,StoreID,SaleDate,Quantity,TotalAmount
1,1,1,1,2023-01-05,2,99.98
2,2,2,2,2023-01-10,1,259.99
3,3,3,3,2023-01-15,3,239.97
4,4,4,4,2023-01-20,1,399.99
5,5,1,1,2023-01-25,2,179.98
6,1,2,2,2023-01-30,4,199.96
7,2,3,3,2023-02-02,2,519.98
8,3,4,4,2023-02-07,5,399.95
9,4,1,1,2023-02-12,2,799.98
10,5,2,2,2023-02-18,1,89.99
11,1,3,3,2023-02-20,3,149.97
12,2,4,4,2023-02-25,4,1039.96
13,3,1,1,2023-01-11,2,159.98
14,4,2,2,2023-01-16,1,399.99
15,5,3,3,2023-01-22,3,269.97
16,1,4,4,2023-02-01,6,299.94
17,2,1,1,2023-02-10,1,259.99
18,3,2,2,2023-02-15,4,319.96
19,4,3,3,2023-02-19,3,1199.97
20,5,4,4,2023-02-28,2,179.98
